______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'chrome_crashpad_handler', 'pid': 970, 'username': 'shubhamwalhekar'} 
{'name': 'Loom Helper (GPU)', 'pid': 976, 'username': 'shubhamwalhekar'} 
{'name': 'Loom Helper', 'pid': 985, 'username': 'shubhamwalhekar'} 
{'name': 'loom-recorder-production', 'pid': 992, 'username': 'shubhamwalhekar'} 
{'name': 'loom_crashpad_handler', 'pid': 994, 'username': 'shubhamwalhekar'} 
{'name': 'Loom Helper (Renderer)', 'pid': 1000, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 1010, 'username': 'shubhamwalhekar'} 
{'name': 'Loom Helper', 'pid': 1017, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 1020, 'username': 'shubhamwalhekar'} 
{'name': 'mdbulkimport', 'pid': 1088, 'username': 'shubhamwalhekar'} 
{'name': 'zsh', 'pid': 1094, 'username': 'shubhamwalhekar'} 
{'name': 'TabNine-deep-local', 'pid': 1124, 'username': 'shubhamwalhekar'} 
{'name': 'TabNine', 'pid': 1136, 'username': 'shubhamwalhekar'} 
{'name': 'php-fpm', 'pid': 1159, 'username': 'shubhamwalhekar'} 
{'name': 'php-fpm', 'pid': 1160, 'username': 'shubhamwalhekar'} 
{'name': 'TabNine', 'pid': 1173, 'username': 'shubhamwalhekar'} 
{'name': 'UserNotificationCenter', 'pid': 1191, 'username': 'shubhamwalhekar'} 
{'name': 'IOUserBluetoothS', 'pid': 1198, 'username': '_driverkit'} 
{'name': 'mdbulkimport', 'pid': 1233, 'username': '_spotlight'} 
{'name': 'launcher', 'pid': 1244, 'username': 'shubhamwalhekar'} 
{'name': 'systemstats', 'pid': 1256, 'username': 'root'} 
{'name': 'httpd', 'pid': 1283, 'username': '_www'} 
{'name': 'CrashReporterSup', 'pid': 1322, 'username': 'root'} 
{'name': 'distnoted', 'pid': 1359, 'username': '_assetcache'} 
{'name': 'distnoted', 'pid': 1429, 'username': '_rmd'} 
{'name': 'Google Chrome Helper', 'pid': 1605, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Plugin)', 'pid': 1606, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 1663, 'username': 'shubhamwalhekar'} 
{'name': 'PasswordBreachAgent', 'pid': 1701, 'username': 'shubhamwalhekar'} 
{'name': 'CharacterPalette', 'pid': 1994, 'username': 'shubhamwalhekar'} 
{'name': 'seserviced', 'pid': 2976, 'username': 'shubhamwalhekar'} 
{'name': 'fbahelperd', 'pid': 3010, 'username': 'root'} 
{'name': 'storedownloadd', 'pid': 3020, 'username': 'shubhamwalhekar'} 
{'name': 'simdiskimaged', 'pid': 3055, 'username': 'root'} 
{'name': 'coreauthd', 'pid': 4782, 'username': 'root'} 
{'name': 'IMAutomaticHistoryDeletionAgent', 'pid': 6874, 'username': 'shubhamwalhekar'} 
{'name': 'ShipIt', 'pid': 6940, 'username': 'shubhamwalhekar'} 
{'name': 'mdwrite', 'pid': 8165, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 8857, 'username': 'shubhamwalhekar'} 
{'name': 'PowerChime', 'pid': 9509, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.Ambien', 'pid': 9529, 'username': 'root'} 
{'name': 'taskgated', 'pid': 9631, 'username': 'root'} 
{'name': 'bird', 'pid': 10192, 'username': 'shubhamwalhekar'} 
{'name': 'UniversalControl', 'pid': 10373, 'username': 'shubhamwalhekar'} 
{'name': 'mdsync', 'pid': 10452, 'username': 'root'} 
{'name': 'mbuseragent', 'pid': 10456, 'username': 'shubhamwalhekar'} 
{'name': 'logd_reporter', 'pid': 10518, 'username': 'root'} 
{'name': 'distnoted', 'pid': 10542, 'username': '_neuralengine'} 
