______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:45:18 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'pid': 16795, 'name': 'ControlCenterHelper', 'username': 'shubhamwalhekar'} 
{'pid': 18077, 'name': 'cfprefsd', 'username': 'shubhamwalhekar'} 
{'pid': 18087, 'name': 'accountsd', 'username': 'shubhamwalhekar'} 
{'pid': 18107, 'name': 'gamepolicyd', 'username': 'root'} 
{'pid': 18530, 'name': 'coreauthd', 'username': 'shubhamwalhekar'} 
{'pid': 19806, 'name': 'softwareupdated', 'username': '_softwareupdate'} 
{'pid': 19838, 'name': 'suhelperd', 'username': 'root'} 
{'pid': 24015, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 28467, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 30751, 'name': 'trustd', 'username': '_trustd'} 
{'pid': 30753, 'name': 'trustd', 'username': 'shubhamwalhekar'} 
{'pid': 31735, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 33079, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 34020, 'name': 'ScreenTimeAgent', 'username': 'shubhamwalhekar'} 
{'pid': 35030, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 35199, 'name': 'DiskUnmountWatcher', 'username': 'shubhamwalhekar'} 
{'pid': 39100, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 44248, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 46373, 'name': 'PerfPowerService', 'username': 'root'} 
{'pid': 50727, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 51121, 'name': 'WirelessRadioMan', 'username': 'root'} 
{'pid': 51891, 'name': 'netbiosd', 'username': '_netbios'} 
{'pid': 52060, 'name': 'universalAccessAuthWarn', 'username': 'shubhamwalhekar'} 
{'pid': 54086, 'name': 'secd', 'username': 'shubhamwalhekar'} 
{'pid': 54554, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 55061, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 58491, 'name': 'Code Helper (Renderer)', 'username': 'shubhamwalhekar'} 
